"suite","benchmark","params","baseline_ms","current_ms","delta_ms","delta_pct","direction","key"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport","size=1000","0.002791","0.002788","-4E-06","-0.14","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport","size=10000","0.002912","0.002793","-0.000118","-4.07","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport","size=100000","0.002808","0.002766","-4.3E-05","-1.52","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport","size=1000","0.000466","0.000462","-4E-06","-0.8","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport","size=10000","0.000478","0.000475","-2E-06","-0.47","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport","size=100000","0.000472","0.000468","-3E-06","-0.72","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping","size=1000","0.126604","0.118016","-0.008588","-6.78","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping","size=10000","0.706783","0.705311","-0.001472","-0.21","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping","size=100000","4.651955","4.364904","-0.28705","-6.17","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping","size=1000","0.043483","0.04362","0.000137","0.32","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping","size=10000","0.331657","0.325758","-0.0059","-1.78","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping","size=100000","2.119172","2.148598","0.029425","1.39","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping","size=1000","0.120918","0.108756","-0.012162","-10.06","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping","size=10000","0.798949","0.693359","-0.10559","-13.22","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping","size=100000","4.493352","4.708986","0.215634","4.8","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentPieMapping","size=1000","0.043612","0.044168","0.000556","1.28","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentPieMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentPieMapping","size=10000","0.331542","0.373811","0.042269","12.75","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentPieMapping|size=10000|avgt|ms/op"
