"suite","benchmark","params","baseline_ms","current_ms","delta_ms","delta_pct","direction","key"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport","size=1000","0.002791","0.002808","1.6E-05","0.59","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport","size=10000","0.002912","0.002823","-8.9E-05","-3.05","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport","size=100000","0.002808","0.002414","-0.000395","-14.06","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.areaPayloadJsonExport|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport","size=1000","0.000466","0.000362","-0.000104","-22.32","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport","size=10000","0.000478","0.000499","2.1E-05","4.41","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport","size=100000","0.000472","0.000455","-1.7E-05","-3.62","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.barPayloadJsonExport|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping","size=1000","0.126604","0.114554","-0.01205","-9.52","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping","size=10000","0.706783","0.704999","-0.001784","-0.25","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping","size=100000","4.651955","4.190133","-0.461821","-9.93","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentAreaMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping","size=1000","0.043483","0.039402","-0.004081","-9.38","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping","size=10000","0.331657","0.332016","0.000358","0.11","slower","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping","size=100000","2.119172","1.993454","-0.125718","-5.93","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentBarMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping","size=1000","0.120918","0.118254","-0.002664","-2.2","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping","size=10000","0.798949","0.76399","-0.034959","-4.38","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping","size=100000","4.493352","3.957573","-0.535779","-11.92","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentLineMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentPieMapping","size=1000","0.043612","0.042608","-0.001004","-2.3","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentPieMapping|size=1000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentPieMapping","size=10000","0.331542","0.323514","-0.008027","-2.42","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentPieMapping|size=10000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentPieMapping","size=100000","2.224604","1.9826","-0.242004","-10.88","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentPieMapping|size=100000|avgt|ms/op"
"chart","laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentScatterMapping","size=1000","0.17931","0.170677","-0.008633","-4.81","faster","chart|laughing.man.commits.benchmark.ChartVisualizationJmhBenchmark.fluentScatterMapping|size=1000|avgt|ms/op"
